ID,User,Astrologer,"Call Rate","Call Time","Total Min",Deduction
1,Tushar,Tarun,10,"25-12-2025 05:34",0,0
2,Tushar,Tarun,10,"25-12-2025 05:30",1,0
3,Tushar,"SAWAN Shakya",10,"25-12-2025 05:26",3,0
4,Tushar,Tarun,12,"25-12-2025 05:28",3,0
5,Tushar,"SAWAN Shakya",10,"25-12-2025 05:13",1,0
6,Rah,Tarun,10,"25-12-2025 05:04",3,0
7,Tushar,"SAWAN Shakya",10,"25-12-2025 04:57",10,0
8,Tushar,"SAWAN Shakya",12,"25-12-2025 05:00",2,24
9,Tushar,"SAWAN Shakya",10,"25-12-2025 04:01",2,0
10,Tushar,"SAWAN Shakya",10,"25-12-2025 03:57",3,0
11,Tushar,"SAWAN Shakya",12,"25-12-2025 03:49",2,24
12,Tushar,"SAWAN Shakya",12,"25-12-2025 03:48",1,0
13,Tushar,"SAWAN Shakya",12,"25-12-2025 03:36",2,0
14,Kajahshshs,Hshwh,12,"25-12-2025 01:52",3,0
15,Kajahshshs,Hshwh,12,"25-12-2025 01:34",4,48
16,Kajahshshs,Hshwh,12,"25-12-2025 01:26",1,12
17,Kajahshshs,Hshwh,12,"25-12-2025 01:24",0,0
18,Kajahshshs,Hshwh,12,"25-12-2025 01:23",0,0
19,Kajahshshs,Hshwh,12,"25-12-2025 01:22",,
20,Kajahshshs,Hshwh,12,"25-12-2025 01:18",2,0
21,Newsignup,"SAWAN Shakya",12,"25-12-2025 01:07",0,0
22,Crcecddc,dsafds,10,"24-12-2025 06:18",0,10
23,Crcecddc,dsafds,12,"24-12-2025 06:18",0,12
24,Crcecddc,dsafds,12,"24-12-2025 06:17",0,12
25,Crcecddc,dsafds,10,"24-12-2025 06:15",0,10
26,Crcecddc,dsafds,10,"24-12-2025 06:09",,
27,Crcecddc,dsafds,12,"24-12-2025 06:08",0,12
28,Crcecddc,dsafds,12,"24-12-2025 06:05",0,1
29,Girish,Ravi,12,"24-12-2025 12:44",1,12
30,Girish,Ravi,12,"24-12-2025 12:42",1,12
31,Girish,Ravi,12,"24-12-2025 12:36",1,12
32,Girish,Ravi,10,"24-12-2025 12:30",1,10
33,Girish,Ravi,12,"24-12-2025 12:26",1,12
34,Girish,Ravi,12,"24-12-2025 12:14",3,0
35,Girish,Ravi,12,"24-12-2025 12:10",1,12
36,Girish,Ravi,0,"24-12-2025 12:05",0,0
37,Girish,Ravi,0,"24-12-2025 12:02",0,0
